year,representative_rank,district,state,representative_score,gerrymander_index,shape_irregularity,packing_signal,quota_deviation_pct,tpp_alp_pct,tpp_margin_pct,tpp_swing,enrolment,turnout,turnout_pct,booth_tpp_stddev,booth_tpp_range,booth_count,mapped_booth_count,effective_parties,top_primary_party,top_primary_pct,primary_gap_pct,vote_type_skew,polsby_popper,reock,convex_hull_ratio,components,area_sqkm,perimeter_km,num_ccds
2022,1,Bowman,QLD,93.2,6.8,11.7,4.8,0.85,44.49,11.02,-4.73,115715,104737,90.51,4.77,26.96,40,40,3.621,LNP,41.14,12.79,5.44,0.5145,0.6104,0.8853,1,907.037,148.839,356
2022,2,Hinkler,QLD,91.1,8.9,13.2,1.5,0.38,39.93,20.14,-4.43,117153,104837,89.49,3.76,25.38,47,47,4.019,LNP,40.75,18.21,4.64,0.4573,0.5767,0.9183,1,7613.714,457.405,361
2022,3,Hasluck,WA,88.3,11.7,22.4,16.7,0.51,56.0,12.0,-11.89,117530,104295,88.74,6.05,40.0,53,52,3.871,ALP,37.53,6.0,4.38,0.3772,0.6156,0.8272,1,1324.546,210.078,383
2022,4,Bennelong,NSW,87.4,12.6,27.7,0.5,1.2,50.98,1.96,-7.89,114942,105778,92.03,4.28,69.03,52,52,3.392,LP,38.96,3.41,4.43,0.3895,0.5441,0.7944,1,60.258,44.091,364
2022,5,Chisholm,VIC,87.1,12.9,22.6,6.8,1.29,56.41,12.82,-6.86,109851,101281,92.2,4.86,25.27,51,51,3.522,ALP,38.2,3.61,3.1,0.4263,0.4823,0.8521,1,76.617,47.523,416
2022,6,Kooyong,VIC,85.4,14.6,25.4,7.9,1.52,45.82,8.36,-2.21,112972,105563,93.44,5.46,59.34,45,45,2.976,LP,41.43,2.05,6.12,0.3351,0.5707,0.8402,1,58.451,46.817,382
2022,7,Reid,NSW,83.9,16.1,27.4,18.5,0.69,55.19,10.38,-8.37,115540,104776,90.68,7.02,47.13,52,52,3.435,ALP,38.91,3.48,4.44,0.4492,0.4391,0.8339,1,55.065,39.247,400
2022,8,Dickson,QLD,83.1,16.9,25.2,3.3,3.36,48.3,3.4,-2.94,112786,103025,91.35,5.39,44.67,43,43,3.593,LNP,40.43,9.96,5.1,0.3369,0.5557,0.8407,1,725.542,164.519,374
2022,9,Dunkley,VIC,83.1,16.9,30.5,12.2,0.26,56.27,12.54,-3.53,111567,100472,90.06,5.43,29.35,40,40,3.845,ALP,38.33,7.36,3.36,0.5116,0.4046,0.8219,1,152.71,61.248,368
2022,10,North Sydney,NSW,82.5,17.5,24.1,4.0,3.99,48.74,2.52,-8.01,111694,102256,91.55,6.71,72.73,55,54,4.179,LP,36.14,12.2,4.89,0.4272,0.5047,0.8243,1,49.981,38.341,372
2022,11,Kingsford Smith,NSW,81.6,18.4,26.7,4.0,0.9,64.5,29.0,-5.69,115299,102038,88.5,3.86,25.33,56,56,3.183,ALP,45.76,18.39,1.47,0.4429,0.5752,0.8549,2,91.025,50.817,396
2022,12,Lalor,VIC,80.9,19.1,11.7,0.7,3.89,62.82,25.64,-0.36,106949,94274,88.15,3.36,28.75,35,35,4.034,ALP,41.42,17.99,1.63,0.4973,0.689,0.889,1,463.415,108.212,337
2022,13,Gorton,VIC,80.7,19.3,27.6,22.7,0.38,59.97,19.94,4.27,110860,99523,89.77,5.48,30.21,38,38,4.255,ALP,38.36,12.89,1.8,0.3959,0.5218,0.8001,1,217.121,83.014,369
2022,14,Goldstein,VIC,80.5,19.5,29.7,11.6,1.48,45.2,9.6,-2.99,109633,101574,92.65,5.81,30.36,44,44,3.546,LP,38.99,5.7,8.16,0.4585,0.3746,0.8668,1,50.632,37.251,339
2022,15,Aston,VIC,79.5,20.5,34.0,4.6,1.42,47.19,5.62,-7.32,109705,101480,92.5,5.4,27.2,38,37,3.423,LP,41.64,10.16,4.29,0.2656,0.5848,0.799,1,113.779,73.369,377
2022,16,Leichhardt,QLD,78.8,21.2,37.2,4.4,0.43,46.56,6.88,-0.73,117214,98422,83.97,5.14,36.89,61,56,4.826,LNP,34.19,8.47,6.32,0.3964,0.392,0.8093,1,302125.257,3094.879,447
