year,representative_rank,district,state,representative_score,gerrymander_index,shape_irregularity,packing_signal,quota_deviation_pct,tpp_alp_pct,tpp_margin_pct,tpp_swing,enrolment,turnout,turnout_pct,booth_tpp_stddev,booth_tpp_range,booth_count,mapped_booth_count,effective_parties,top_primary_party,top_primary_pct,primary_gap_pct,vote_type_skew,polsby_popper,reock,convex_hull_ratio,components,area_sqkm,perimeter_km,num_ccds
2019,27,Rankin,QLD,71.4,28.6,22.1,27.2,4.79,56.44,12.88,4.86,103551,91975,88.82,8.44,81.25,44,42,3.98,ALP,38.22,9.29,11.88,0.4934,0.5212,0.8211,1,131.262,57.819,401
2019,28,Ballarat,VIC,71.3,28.7,26.2,7.9,4.4,60.98,21.96,-3.62,114954,107372,93.4,5.4,44.73,56,54,3.238,ALP,45.71,16.41,3.88,0.3056,0.582,0.8358,1,4320.009,421.44,343
2019,29,Boothby,SA,71.1,28.9,39.7,3.1,2.37,48.62,2.76,-1.33,123949,116030,93.61,7.2,68.69,63,58,3.214,LP,43.07,10.06,10.35,0.3407,0.4403,0.7801,1,115.602,65.302,406
2019,30,Holt,VIC,70.6,29.4,26.4,30.7,2.99,58.7,17.4,1.24,106812,98756,92.46,7.61,81.82,38,37,2.741,ALP,48.64,14.25,7.14,0.4193,0.4528,0.8509,1,266.353,89.341,267
2019,31,Dobell,NSW,70.4,29.6,35.8,0.5,4.05,51.5,3.0,3.31,117206,107892,92.05,5.18,62.8,62,57,3.214,ALP,39.01,0.71,6.74,0.3656,0.4939,0.8415,2,787.17,164.486,382
2019,32,Higgins,VIC,69.5,30.5,44.8,14.2,0.82,46.12,7.76,-6.09,111013,102541,92.37,9.32,67.0,51,47,3.019,LP,46.9,22.03,9.12,0.4354,0.3579,0.7569,1,41.883,34.768,345
2019,33,Newcastle,NSW,69.5,30.5,13.2,33.4,4.44,63.83,27.66,0.01,117650,109081,92.72,6.8,31.15,56,54,3.449,ALP,43.21,15.61,10.09,0.5163,0.5752,0.8751,1,170.785,64.473,379
2019,34,Makin,SA,69.4,30.6,40.3,12.7,0.91,59.72,19.44,1.07,119982,111725,93.12,5.87,73.33,52,49,3.065,ALP,46.24,14.84,5.15,0.3531,0.3831,0.816,1,162.383,76.022,398
2019,35,Curtin,WA,69.3,30.7,21.2,49.9,2.4,35.67,28.66,-6.37,100422,91989,91.6,7.71,75.0,48,41,2.993,LP,52.46,35.4,8.3,0.5168,0.4612,0.8581,1,97.822,48.771,336
2019,36,Warringah,NSW,69.3,30.7,32.4,0.5,6.79,47.88,4.24,-8.97,104995,97020,92.4,5.07,38.1,52,50,3.056,IND,42.41,5.37,7.42,0.4138,0.514,0.7601,1,68.228,45.517,351
2019,37,Parramatta,NSW,68.2,31.8,29.1,11.0,8.46,53.5,7.0,4.17,103122,92409,89.61,7.84,50.1,52,51,3.063,ALP,41.31,3.48,5.26,0.4475,0.5434,0.7632,1,56.77,39.927,402
2019,38,Moreton,QLD,68.0,32.0,34.0,5.5,5.51,51.9,3.8,2.12,102769,93441,90.92,8.31,37.86,53,49,3.308,LNP,39.61,5.51,8.05,0.38,0.4356,0.8167,1,109.724,60.234,382
2019,39,Greenway,NSW,67.7,32.3,44.0,6.5,2.09,52.8,5.6,3.51,110299,102432,92.87,7.39,33.23,47,45,2.977,ALP,42.86,5.02,6.32,0.4127,0.2522,0.8127,1,81.349,49.769,334
2019,40,Isaacs,VIC,66.6,33.4,41.3,14.8,1.64,56.43,12.86,-3.45,108297,101017,93.28,6.71,35.68,46,44,3.183,ALP,42.93,9.18,3.69,0.4449,0.347,0.7948,1,155.686,66.314,347
2019,41,Watson,NSW,66.4,33.6,22.6,34.7,4.33,63.52,27.04,4.06,107774,96409,89.45,6.9,82.94,53,51,3.404,ALP,45.17,19.48,6.48,0.5296,0.5007,0.8113,1,47.483,33.567,399
2019,42,Bruce,VIC,65.9,34.1,38.0,28.4,0.83,64.15,28.3,-0.1,109195,98561,90.26,6.49,46.29,44,42,2.763,ALP,52.47,24.9,5.7,0.4151,0.3887,0.7988,1,95.897,53.878,424
2019,43,Menzies,VIC,65.7,34.3,37.7,25.3,2.09,42.47,15.06,-0.28,107801,101702,94.34,7.38,61.27,51,48,2.876,LP,50.01,20.97,7.31,0.2663,0.4935,0.8008,1,184.608,93.332,378
2019,44,Wills,VIC,65.4,34.6,34.5,48.8,0.5,75.85,51.7,-4.18,110658,100333,90.67,7.0,27.4,47,45,3.59,ALP,42.21,16.72,6.52,0.3533,0.463,0.7985,1,46.876,40.831,346
2019,45,Herbert,QLD,64.9,35.1,51.2,10.5,0.29,41.64,16.72,8.38,108453,97676,90.06,5.85,69.03,44,42,4.754,LNP,34.92,10.97,6.07,0.27,0.2141,0.8353,1,17943.478,913.847,375
2019,46,Maribyrnong,VIC,64.6,35.4,29.4,52.2,2.51,61.2,22.4,-0.8,112866,103938,92.09,9.91,38.29,42,40,2.906,ALP,45.69,12.13,6.55,0.3537,0.5276,0.7994,1,64.105,47.725,361
2019,47,Macarthur,NSW,64.2,35.8,23.4,41.0,5.72,58.4,16.8,-0.07,119094,109167,91.66,9.92,48.38,51,51,3.492,ALP,43.55,15.43,5.94,0.4268,0.4615,0.8685,1,362.761,103.351,388
2019,48,Mackellar,NSW,64.1,35.9,43.5,3.9,1.63,36.78,26.44,-2.52,110817,103119,93.05,4.95,58.82,51,48,3.224,LP,50.51,34.37,9.68,0.2969,0.4789,0.8266,2,233.224,99.35,366
2019,49,Hotham,VIC,63.7,36.3,41.8,24.4,2.07,55.91,11.82,-1.7,107833,99648,92.41,8.64,44.01,48,46,2.933,ALP,43.46,5.88,4.13,0.3922,0.4601,0.7225,1,83.055,51.586,406
2019,50,Deakin,VIC,63.4,36.6,47.6,5.6,2.37,45.22,9.56,-1.66,107493,101424,94.35,5.97,66.67,51,47,3.132,LP,45.88,14.68,7.09,0.3319,0.4057,0.7471,1,79.696,54.934,378
2019,51,McEwen,VIC,63.3,36.7,49.8,2.5,1.88,55.02,10.04,0.98,108041,101462,93.91,5.29,78.57,60,57,3.817,ALP,37.36,4.68,5.58,0.1925,0.5009,0.75,1,2669.294,417.426,289
2019,52,Canning,WA,63.2,36.8,36.8,0.2,4.19,38.45,23.1,4.76,107207,96782,90.28,4.26,53.66,54,51,3.403,LP,46.06,20.24,5.99,0.327,0.4726,0.787,1,6304.142,492.182,306
2019,53,Scullin,VIC,62.5,37.5,30.0,13.8,4.5,71.66,43.32,-2.08,105154,96864,92.12,5.41,31.99,41,39,2.61,ALP,57.26,36.12,3.5,0.3117,0.5469,0.8077,1,116.23,68.457,337
2019,54,Robertson,NSW,62.1,37.9,54.2,6.3,1.34,45.76,8.48,3.1,111142,103554,93.17,6.28,34.73,54,51,3.312,LP,43.47,11.83,10.1,0.2666,0.4019,0.7347,1,980.032,214.913,367
2019,55,Hasluck,WA,61.8,38.2,39.7,14.1,4.15,44.61,10.78,3.34,98624,89099,90.34,7.19,66.67,49,47,3.664,LP,41.23,12.28,12.64,0.3095,0.5394,0.7423,1,1192.457,220.045,347
2019,56,Calare,NSW,61.1,38.9,33.9,17.6,4.84,36.71,26.58,1.48,118099,110539,93.6,5.95,55.0,96,91,3.876,NP,42.19,21.31,7.29,0.1826,0.6682,0.8399,1,32666.325,1499.239,453
2019,57,Hughes,NSW,59.6,40.4,34.8,17.5,5.72,40.15,19.7,0.52,106204,100699,94.82,6.23,66.67,52,50,2.885,LP,50.41,21.52,7.82,0.3207,0.5139,0.7798,1,368.851,120.226,375
