year,representative_rank,district,state,representative_score,gerrymander_index,shape_irregularity,packing_signal,quota_deviation_pct,tpp_alp_pct,tpp_margin_pct,tpp_swing,enrolment,turnout,turnout_pct,booth_tpp_stddev,booth_tpp_range,booth_count,mapped_booth_count,effective_parties,top_primary_party,top_primary_pct,primary_gap_pct,vote_type_skew,polsby_popper,reock,convex_hull_ratio,components,area_sqkm,perimeter_km,num_ccds
2025,1,Bowman,QLD,93.4,6.6,12.7,2.4,1.3,47.57,4.86,3.08,122940,111973,91.08,4.96,22.52,38,35,3.827,LNP,38.2,7.62,5.19,0.5145,0.6104,0.8853,1,907.037,148.839,356
2025,2,Canning,WA,91.7,8.3,12.7,5.8,1.07,43.45,13.1,-5.35,119262,104097,87.28,4.62,34.41,46,44,3.61,LP,41.11,12.2,2.63,0.5271,0.5736,0.9155,1,3741.527,298.667,350
2025,3,Hinkler,QLD,87.1,12.9,14.3,0.7,2.52,43.74,12.52,3.81,127702,114677,89.8,3.58,26.45,47,43,4.064,LNP,36.25,6.51,1.44,0.4573,0.5767,0.9183,1,7613.714,457.405,361
2025,4,Bullwinkel,WA,86.6,13.4,20.8,0.8,2.85,50.51,1.02,-2.84,121364,108531,89.43,7.51,50.15,57,54,5.1,ALP,30.81,7.37,3.13,0.3888,0.5461,0.8684,1,9514.665,554.541,433
2025,5,Curtin,WA,86.6,13.4,26.5,6.1,0.64,47.84,4.32,3.48,117244,107153,91.39,8.22,44.51,47,43,3.499,LP,39.6,7.92,7.11,0.5052,0.4328,0.8487,1,102.847,50.58,364
2025,6,Mitchell,NSW,85.6,14.4,30.0,3.5,0.6,46.19,7.62,6.68,122997,115709,94.07,4.81,44.08,54,51,3.192,LP,43.87,12.41,8.5,0.4656,0.3872,0.8809,1,79.306,46.266,402
2025,7,Cowan,WA,85.4,14.6,18.8,4.9,1.28,63.63,27.26,3.69,116491,103335,88.71,4.01,22.25,47,46,3.848,ALP,43.38,20.9,2.06,0.5235,0.5892,0.8183,1,107.724,50.851,390
2025,8,Bennelong,NSW,82.5,17.5,20.5,16.7,1.78,59.26,18.52,9.3,125953,117008,92.9,5.67,52.79,63,60,3.261,ALP,42.56,9.65,6.83,0.4488,0.5229,0.8495,1,66.278,43.078,434
2025,9,La Trobe,VIC,81.5,18.5,22.3,3.4,4.2,47.94,4.12,6.37,115425,107307,92.97,6.21,64.29,45,43,3.782,LP,37.79,6.76,5.74,0.3485,0.5867,0.8465,1,1302.274,216.684,377
2025,10,Newcastle,NSW,81.3,18.7,12.5,11.3,2.0,70.79,41.58,2.85,126226,116411,92.22,4.38,23.65,59,56,3.834,ALP,42.14,21.47,2.64,0.5573,0.5841,0.8828,1,173.41,62.53,388
