2019 Federal Election House of Representatives Turnout By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:44 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionID,DivisionNm,StateAb,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing
174,Oxley,QLD,104214,95039,91.2,0.34
138,Page,NSW,122709,113548,92.53,-0.25
139,Parkes,NSW,109513,99799,91.13,-0.82
140,Parramatta,NSW,103122,92409,89.61,0.59
249,Paterson,NSW,122820,114513,93.24,-0.25
244,Pearce,WA,119583,107414,89.82,2.47
245,Perth,WA,101535,91926,90.54,2.5
175,Petrie,QLD,115449,105410,91.3,-0.32
176,Rankin,QLD,103551,91975,88.82,-0.24
144,Reid,NSW,108876,99847,91.71,1.3
145,Richmond,NSW,119332,108381,90.82,0.2
250,Riverina,NSW,113960,106430,93.39,-0.02
146,Robertson,NSW,111142,103554,93.17,0.65
177,Ryan,QLD,106249,98795,92.98,-0.34
232,Scullin,VIC,105154,96864,92.12,2.21
148,Shortland,NSW,114054,106827,93.66,0.21
307,Solomon,NT,69336,57602,83.08,-0.95
325,Spence,SA,119385,108096,90.54,2.63
246,Stirling,WA,101243,91038,89.92,2.19
190,Sturt,SA,123818,115953,93.65,0.46
247,Swan,WA,100857,89333,88.57,1.73
149,Sydney,NSW,114215,98569,86.3,1.53
248,Tangney,WA,94365,87250,92.46,1.26
233,Wannon,VIC,114572,108050,94.31,-1.18
151,Warringah,NSW,104995,97020,92.4,2.5
251,Watson,NSW,107774,96409,89.45,1.08
152,Wentworth,NSW,103498,92525,89.4,3.16
153,Werriwa,NSW,117693,106553,90.53,0.31
150,Whitlam,NSW,118695,110691,93.26,0.38
178,Wide Bay,QLD,107495,98539,91.67,-0.11
234,Wills,VIC,110658,100333,90.67,3.25
316,Wright,QLD,112115,103162,92.01,-0.23
