2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:45 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8295,Derby,999,Informal,Informal,999,N,N,,Informal,4,-2.8
TAS,192,Bass,8296,Dilston,32540,HALL,Tom,1,N,N,GRN,The Greens,66,-2.71
TAS,192,Bass,8296,Dilston,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,171,-4.98
TAS,192,Bass,8296,Dilston,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,24,3.86
TAS,192,Bass,8296,Dilston,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,299,4.88
TAS,192,Bass,8296,Dilston,33590,LAMBERT,Todd,5,N,N,IND,Independent,17,2.73
TAS,192,Bass,8296,Dilston,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,34,5.47
TAS,192,Bass,8296,Dilston,32399,COOPER,Carl,7,N,N,NP,The Nationals,11,1.77
TAS,192,Bass,8296,Dilston,999,Informal,Informal,999,N,N,,Informal,18,-2.28
TAS,192,Bass,30183,Divisional Office (PREPOLL),32540,HALL,Tom,1,N,N,GRN,The Greens,167,1.96
TAS,192,Bass,30183,Divisional Office (PREPOLL),32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,479,-5.58
TAS,192,Bass,30183,Divisional Office (PREPOLL),32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,27,1.91
TAS,192,Bass,30183,Divisional Office (PREPOLL),32124,ARCHER,Bridget,4,Y,N,LP,Liberal,640,1.29
TAS,192,Bass,30183,Divisional Office (PREPOLL),33590,LAMBERT,Todd,5,N,N,IND,Independent,38,2.69
TAS,192,Bass,30183,Divisional Office (PREPOLL),32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,50,3.53
TAS,192,Bass,30183,Divisional Office (PREPOLL),32399,COOPER,Carl,7,N,N,NP,The Nationals,14,0.99
TAS,192,Bass,30183,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,37,0.69
TAS,192,Bass,8313,East Launceston,32540,HALL,Tom,1,N,N,GRN,The Greens,290,-0.09
TAS,192,Bass,8313,East Launceston,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,481,0.29
TAS,192,Bass,8313,East Launceston,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,26,1.71
TAS,192,Bass,8313,East Launceston,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,638,-2.69
TAS,192,Bass,8313,East Launceston,33590,LAMBERT,Todd,5,N,N,IND,Independent,28,1.84
TAS,192,Bass,8313,East Launceston,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,40,2.63
TAS,192,Bass,8313,East Launceston,32399,COOPER,Carl,7,N,N,NP,The Nationals,17,1.12
TAS,192,Bass,8313,East Launceston,999,Informal,Informal,999,N,N,,Informal,32,-0.15
TAS,192,Bass,8592,Exeter,32540,HALL,Tom,1,N,N,GRN,The Greens,127,-1.16
TAS,192,Bass,8592,Exeter,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,345,-3.47
TAS,192,Bass,8592,Exeter,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,25,2.05
TAS,192,Bass,8592,Exeter,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,572,-0.71
TAS,192,Bass,8592,Exeter,33590,LAMBERT,Todd,5,N,N,IND,Independent,52,4.26
TAS,192,Bass,8592,Exeter,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,68,5.57
TAS,192,Bass,8592,Exeter,32399,COOPER,Carl,7,N,N,NP,The Nationals,32,2.62
TAS,192,Bass,8592,Exeter,999,Informal,Informal,999,N,N,,Informal,55,-0.51
TAS,192,Bass,8314,Five Ways,32540,HALL,Tom,1,N,N,GRN,The Greens,132,5.45
TAS,192,Bass,8314,Five Ways,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,302,-8.2
TAS,192,Bass,8314,Five Ways,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,25,3.19
TAS,192,Bass,8314,Five Ways,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,270,0.86
TAS,192,Bass,8314,Five Ways,33590,LAMBERT,Todd,5,N,N,IND,Independent,23,2.93
TAS,192,Bass,8314,Five Ways,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,28,3.57
TAS,192,Bass,8314,Five Ways,32399,COOPER,Carl,7,N,N,NP,The Nationals,4,0.51
TAS,192,Bass,8314,Five Ways,999,Informal,Informal,999,N,N,,Informal,31,-0.65
TAS,192,Bass,8301,George Town,32540,HALL,Tom,1,N,N,GRN,The Greens,78,-2.78
TAS,192,Bass,8301,George Town,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,753,-7.03
TAS,192,Bass,8301,George Town,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,33,2.04
TAS,192,Bass,8301,George Town,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,552,7.58
TAS,192,Bass,8301,George Town,33590,LAMBERT,Todd,5,N,N,IND,Independent,75,4.65
TAS,192,Bass,8301,George Town,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,100,6.2
TAS,192,Bass,8301,George Town,32399,COOPER,Carl,7,N,N,NP,The Nationals,23,1.43
TAS,192,Bass,8301,George Town,999,Informal,Informal,999,N,N,,Informal,116,1.21
TAS,192,Bass,8302,George Town South,32540,HALL,Tom,1,N,N,GRN,The Greens,34,-1.65
TAS,192,Bass,8302,George Town South,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,400,-10.61
TAS,192,Bass,8302,George Town South,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,10,1.1
TAS,192,Bass,8302,George Town South,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,365,8.61
TAS,192,Bass,8302,George Town South,33590,LAMBERT,Todd,5,N,N,IND,Independent,40,4.38
TAS,192,Bass,8302,George Town South,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,44,4.82
TAS,192,Bass,8302,George Town South,32399,COOPER,Carl,7,N,N,NP,The Nationals,20,2.19
TAS,192,Bass,8302,George Town South,999,Informal,Informal,999,N,N,,Informal,49,-0.94
TAS,192,Bass,8303,Gladstone,32540,HALL,Tom,1,N,N,GRN,The Greens,11,2.68
TAS,192,Bass,8303,Gladstone,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,36,-9.3
TAS,192,Bass,8303,Gladstone,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,3,2.4
TAS,192,Bass,8303,Gladstone,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,62,9.46
TAS,192,Bass,8303,Gladstone,33590,LAMBERT,Todd,5,N,N,IND,Independent,5,4
TAS,192,Bass,8303,Gladstone,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,7,5.6
TAS,192,Bass,8303,Gladstone,32399,COOPER,Carl,7,N,N,NP,The Nationals,1,0.8
TAS,192,Bass,8303,Gladstone,999,Informal,Informal,999,N,N,,Informal,17,9.97
TAS,192,Bass,8599,Glengarry,32540,HALL,Tom,1,N,N,GRN,The Greens,30,-1.6
TAS,192,Bass,8599,Glengarry,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,74,-1.4
TAS,192,Bass,8599,Glengarry,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,8,2.79
TAS,192,Bass,8599,Glengarry,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,136,-2.1
TAS,192,Bass,8599,Glengarry,33590,LAMBERT,Todd,5,N,N,IND,Independent,13,4.53
TAS,192,Bass,8599,Glengarry,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,21,7.32
TAS,192,Bass,8599,Glengarry,32399,COOPER,Carl,7,N,N,NP,The Nationals,5,1.74
TAS,192,Bass,8599,Glengarry,999,Informal,Informal,999,N,N,,Informal,11,-0.96
TAS,192,Bass,8603,Gravelly Beach,32540,HALL,Tom,1,N,N,GRN,The Greens,82,-3.65
TAS,192,Bass,8603,Gravelly Beach,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,168,3.84
TAS,192,Bass,8603,Gravelly Beach,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,10,2.02
TAS,192,Bass,8603,Gravelly Beach,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,193,-1.43
TAS,192,Bass,8603,Gravelly Beach,33590,LAMBERT,Todd,5,N,N,IND,Independent,18,3.64
TAS,192,Bass,8603,Gravelly Beach,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,17,3.44
TAS,192,Bass,8603,Gravelly Beach,32399,COOPER,Carl,7,N,N,NP,The Nationals,6,1.21
TAS,192,Bass,8603,Gravelly Beach,999,Informal,Informal,999,N,N,,Informal,24,1.43
TAS,192,Bass,8304,Hillwood,32540,HALL,Tom,1,N,N,GRN,The Greens,36,-1.73
TAS,192,Bass,8304,Hillwood,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,136,0.56
TAS,192,Bass,8304,Hillwood,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,9,2.4
TAS,192,Bass,8304,Hillwood,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,154,-2.77
TAS,192,Bass,8304,Hillwood,33590,LAMBERT,Todd,5,N,N,IND,Independent,16,4.27
TAS,192,Bass,8304,Hillwood,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,18,4.8
TAS,192,Bass,8304,Hillwood,32399,COOPER,Carl,7,N,N,NP,The Nationals,6,1.6
TAS,192,Bass,8304,Hillwood,999,Informal,Informal,999,N,N,,Informal,8,-0.78
TAS,192,Bass,8305,Inveresk,32540,HALL,Tom,1,N,N,GRN,The Greens,138,-0.76
TAS,192,Bass,8305,Inveresk,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,512,-6.37
TAS,192,Bass,8305,Inveresk,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,26,2.49
TAS,192,Bass,8305,Inveresk,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,256,4.06
TAS,192,Bass,8305,Inveresk,33590,LAMBERT,Todd,5,N,N,IND,Independent,38,3.64
TAS,192,Bass,8305,Inveresk,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,62,5.93
TAS,192,Bass,8305,Inveresk,32399,COOPER,Carl,7,N,N,NP,The Nationals,13,1.24
TAS,192,Bass,8305,Inveresk,999,Informal,Informal,999,N,N,,Informal,70,0.91
TAS,192,Bass,8306,Invermay,32540,HALL,Tom,1,N,N,GRN,The Greens,135,0.81
TAS,192,Bass,8306,Invermay,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,394,-7.31
TAS,192,Bass,8306,Invermay,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,26,2.69
TAS,192,Bass,8306,Invermay,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,315,5.26
TAS,192,Bass,8306,Invermay,33590,LAMBERT,Todd,5,N,N,IND,Independent,37,3.83
TAS,192,Bass,8306,Invermay,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,48,4.97
TAS,192,Bass,8306,Invermay,32399,COOPER,Carl,7,N,N,NP,The Nationals,11,1.14
TAS,192,Bass,8306,Invermay,999,Informal,Informal,999,N,N,,Informal,55,1.24
TAS,192,Bass,8308,Karoola,32540,HALL,Tom,1,N,N,GRN,The Greens,29,-4.58
TAS,192,Bass,8308,Karoola,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,93,-9.72
TAS,192,Bass,8308,Karoola,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,7,2.15
TAS,192,Bass,8308,Karoola,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,146,11.48
TAS,192,Bass,8308,Karoola,33590,LAMBERT,Todd,5,N,N,IND,Independent,16,4.92
TAS,192,Bass,8308,Karoola,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,33,10.15
TAS,192,Bass,8308,Karoola,32399,COOPER,Carl,7,N,N,NP,The Nationals,1,0.31
TAS,192,Bass,8308,Karoola,999,Informal,Informal,999,N,N,,Informal,9,-0.29
TAS,192,Bass,31784,Kelso,32540,HALL,Tom,1,N,N,GRN,The Greens,34,1.99
TAS,192,Bass,31784,Kelso,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,93,-0.29
TAS,192,Bass,31784,Kelso,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,9,2.92
TAS,192,Bass,31784,Kelso,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,133,-12.53
TAS,192,Bass,31784,Kelso,33590,LAMBERT,Todd,5,N,N,IND,Independent,10,3.25
TAS,192,Bass,31784,Kelso,32545,ROARK,Allan John,6,N,N,UAPP,United Australia Party,24,7.79
TAS,192,Bass,31784,Kelso,32399,COOPER,Carl,7,N,N,NP,The Nationals,5,1.62
TAS,192,Bass,31784,Kelso,999,Informal,Informal,999,N,N,,Informal,13,-1.78
TAS,192,Bass,8309,Kings Meadows,32540,HALL,Tom,1,N,N,GRN,The Greens,164,-0.26
TAS,192,Bass,8309,Kings Meadows,32327,HART,Ross,2,N,Y,ALP,Australian Labor Party,770,-7.73
TAS,192,Bass,8309,Kings Meadows,32379,WOODBURY,Susan,3,N,N,AJP,Animal Justice Party,72,3.75
TAS,192,Bass,8309,Kings Meadows,32124,ARCHER,Bridget,4,Y,N,LP,Liberal,731,3.89
TAS,192,Bass,8309,Kings Meadows,33590,LAMBERT,Todd,5,N,N,IND,Independent,75,3.9
