2022 Federal Election House of Representatives Turnout By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionID,DivisionNm,StateAb,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing
247,Swan,WA,121189,105581,87.12,-1.73
149,Sydney,NSW,125419,106624,85.01,-1.29
248,Tangney,WA,122190,111819,91.51,-1.99
233,Wannon,VIC,115709,106704,92.22,-2.84
151,Warringah,NSW,105278,96163,91.34,-1.06
251,Watson,NSW,108714,94972,87.36,-2.09
152,Wentworth,NSW,103716,91200,87.93,-1.47
153,Werriwa,NSW,126048,111593,88.53,-2
150,Whitlam,NSW,125393,114974,91.69,-1.57
178,Wide Bay,QLD,115315,102272,88.69,-2.98
234,Wills,VIC,108402,96053,88.61,-2.55
316,Wright,QLD,123792,109666,88.59,-3.42
