year,representative_rank,district,state,representative_score,gerrymander_index,polsby_popper,reock,convex_hull_ratio,components,computed_area_sqkm,perimeter_km,num_ccds,population_actual,population_projected,population_total
2022,1,Bowman,QLD,88.3,11.7,0.5145,0.6104,0.8853,1,907.037,148.839,356,,,
2022,2,Lalor,VIC,88.3,11.7,0.4973,0.689,0.889,1,463.415,108.212,337,100493,116592,
2022,3,Barton,NSW,87.7,12.3,0.6114,0.5983,0.865,1,39.608,28.532,386,,,
2022,4,Newcastle,NSW,86.9,13.1,0.5163,0.5752,0.875,1,170.775,64.473,371,,,
2022,5,Hinkler,QLD,86.8,13.2,0.4573,0.5767,0.9183,1,7613.714,457.405,361,,,
2022,6,Chifley,NSW,86.5,13.5,0.562,0.5291,0.9056,1,125.949,53.067,410,,,
2022,7,La Trobe,VIC,80.0,20.0,0.3755,0.5975,0.8551,1,1326.122,210.673,278,99301,120137,
2022,8,Adelaide,SA,79.4,20.6,0.5071,0.4718,0.864,1,86.468,46.29,422,,,
2022,9,Rankin,QLD,78.0,22.0,0.4939,0.5211,0.8214,1,131.254,57.787,415,,,
2022,10,Hasluck,WA,77.6,22.4,0.3772,0.6156,0.8272,1,1324.546,210.078,383,110414,119538,
2022,11,Macarthur,NSW,77.6,22.4,0.4276,0.4616,0.8684,1,362.665,103.241,391,,,
2022,12,Chisholm,VIC,77.4,22.6,0.4263,0.4823,0.8521,1,76.617,47.523,416,108703,113388,
2022,13,Watson,NSW,76.9,23.1,0.5187,0.4965,0.811,1,47.479,33.917,394,,,
2022,14,North Sydney,NSW,75.9,24.1,0.4272,0.5047,0.8243,1,49.981,38.341,372,,,
2022,15,Calwell,VIC,74.8,25.2,0.3145,0.5497,0.8527,1,220.854,93.943,314,99781,116976,
2022,16,Dickson,QLD,74.8,25.2,0.3369,0.5557,0.8407,1,725.542,164.519,374,,,
2022,17,Kooyong,VIC,74.6,25.4,0.3351,0.5707,0.8402,1,58.451,46.817,382,113962,119909,
2022,18,Fraser,VIC,74.2,25.8,0.4221,0.497,0.8123,1,88.365,51.291,395,110937,116440,
2022,19,Blaxland,NSW,73.9,26.1,0.5023,0.4125,0.8664,1,61.147,39.113,419,,,
2022,20,Swan,WA,73.7,26.3,0.3795,0.5345,0.8123,1,160.026,72.793,418,114942,117373,
2022,21,Kingsford Smith,NSW,73.3,26.7,0.4429,0.5752,0.8549,2,91.025,50.817,396,,,
2022,22,Hunter,NSW,72.9,27.1,0.2789,0.5958,0.8462,1,10639.442,692.403,432,,,
2022,23,Reid,NSW,72.6,27.4,0.4492,0.4391,0.8339,1,55.065,39.247,400,,,
2022,24,Gorton,VIC,72.4,27.6,0.3959,0.5218,0.8001,1,217.121,83.014,369,106192,116508,
2022,25,Bennelong,NSW,72.3,27.7,0.3895,0.5441,0.7944,1,60.258,44.091,364,,,
2022,26,Holt,VIC,71.3,28.7,0.404,0.4381,0.8406,1,257.706,89.531,301,100923,120236,
2022,27,Burt,WA,70.9,29.1,0.3881,0.5134,0.8023,1,190.006,78.433,363,105989,113126,
2022,28,Parramatta,NSW,70.4,29.6,0.4473,0.5433,0.7631,1,56.772,39.935,411,,,
2022,29,Goldstein,VIC,70.3,29.7,0.4585,0.3746,0.8668,1,50.632,37.251,339,109554,115856,
2022,30,Mallee,VIC,70.1,29.9,0.2355,0.5325,0.9006,1,83401.507,2109.578,489,119582,118663,
2022,31,Cowan,WA,69.8,30.2,0.518,0.3684,0.8466,1,94.712,47.935,417,118704,119491,
2022,32,Dunkley,VIC,69.5,30.5,0.5116,0.4046,0.8219,1,152.71,61.248,368,111277,114591,
2022,33,Scullin,VIC,69.3,30.7,0.3119,0.5469,0.808,1,116.23,68.428,372,107312,116741,
2022,34,Fadden,QLD,69.1,30.9,0.391,0.4668,0.8056,1,433.157,117.988,361,,,
2022,35,Curtin,WA,68.5,31.5,0.4586,0.3847,0.8379,1,109.077,54.67,378,114494,118531,
2022,36,Canning,WA,66.8,33.2,0.3618,0.4171,0.85,1,4379.653,390.05,353,107779,115455,
2022,37,Parkes,NSW,66.8,33.2,0.2803,0.4505,0.8738,1,393417.454,4199.39,466,,,
2022,38,Kennedy,QLD,66.6,33.4,0.3568,0.566,0.8679,6,629514.931,4708.567,506,,,
2022,39,Warringah,NSW,66.6,33.4,0.414,0.5141,0.7601,1,68.232,45.512,352,,,
2022,40,Clark,TAS,66.3,33.7,0.2653,0.4984,0.8362,1,291.766,117.557,276,,,
2022,41,Aston,VIC,66.0,34.0,0.2656,0.5848,0.799,1,113.779,73.369,377,111098,115439,
2022,42,Calare,NSW,65.8,34.2,0.1845,0.6683,0.8399,1,32663.74,1491.454,440,,,
2022,43,Moreton,QLD,65.7,34.3,0.3734,0.4362,0.8186,1,109.753,60.779,390,,,
2022,44,Hotham,VIC,64.8,35.2,0.4968,0.4184,0.7803,1,77.984,44.414,422,115226,120530,
2022,45,Griffith,QLD,64.2,35.8,0.3814,0.4827,0.7691,1,57.469,43.516,352,,,
2022,46,Cook,NSW,64.0,36.0,0.3893,0.5284,0.7425,1,93.823,55.033,348,,,
2022,47,Hughes,NSW,63.8,36.2,0.3211,0.5139,0.7797,1,368.827,120.137,365,,,
2022,48,Wills,VIC,63.7,36.3,0.3496,0.4648,0.7943,1,46.372,40.828,348,108904,116877,
2022,49,Bradfield,NSW,63.3,36.7,0.3682,0.4602,0.7836,1,101.388,58.825,382,,,
2022,50,Dobell,NSW,63.2,36.8,0.3664,0.494,0.8417,2,787.195,164.322,383,,,
2022,51,Leichhardt,QLD,62.8,37.2,0.3964,0.392,0.8093,1,302125.257,3094.879,447,,,
2022,52,McMahon,NSW,62.8,37.2,0.3411,0.4144,0.8324,1,168.39,78.767,387,,,
2022,53,Brisbane,QLD,61.5,38.5,0.3787,0.4953,0.7504,1,57.575,43.708,377,,,
2022,54,Banks,NSW,60.5,39.5,0.4131,0.3075,0.8336,1,53.007,40.154,359,,,
2022,55,Lindsay,NSW,60.5,39.5,0.3595,0.4517,0.7767,1,339.029,108.866,377,,,
