year,representative_rank,district,state,representative_score,gerrymander_index,polsby_popper,reock,convex_hull_ratio,components,computed_area_sqkm,perimeter_km,num_ccds,population_actual,population_projected,population_total
2019,1,Gorton,VIC,89.0,11.0,0.5752,0.5838,0.9336,1,540.56,108.671,274,,,
2019,2,Bowman,QLD,88.7,11.3,0.5083,0.6104,0.886,1,908.003,149.821,345,,,
2019,3,Lalor,VIC,88.7,11.3,0.505,0.6591,0.9125,1,493.255,110.79,284,,,
2019,4,Barton,NSW,88.2,11.8,0.6114,0.5983,0.865,1,39.608,28.532,380,,,
2019,5,Newcastle,NSW,86.8,13.2,0.5163,0.5752,0.8751,1,170.785,64.473,379,,,
2019,6,Chifley,NSW,86.5,13.5,0.5634,0.5291,0.9055,1,125.943,53.003,387,,,
2019,7,Burt,WA,84.7,15.3,0.4873,0.5921,0.8539,1,172.375,66.669,316,,,
2019,8,Chisholm,VIC,79.4,20.6,0.4513,0.5025,0.8492,1,65.823,42.811,391,,,
2019,9,Kooyong,VIC,79.3,20.7,0.3506,0.5974,0.8581,1,55.734,44.697,361,,,
2019,10,Adelaide,SA,79.1,20.9,0.5071,0.4718,0.864,1,86.468,46.29,401,,,
2019,11,Kennedy,QLD,79.1,20.9,0.3567,0.5659,0.8677,1,629353.009,4708.608,498,,,
2019,12,Curtin,WA,78.8,21.2,0.5168,0.4612,0.8581,1,97.822,48.771,336,,,
2019,13,Rankin,QLD,77.9,22.1,0.4934,0.5212,0.8211,1,131.262,57.819,401,,,
2019,14,Swan,WA,77.6,22.4,0.4501,0.4807,0.8526,1,133.886,61.14,352,,,
2019,15,Watson,NSW,77.4,22.6,0.5296,0.5007,0.8113,1,47.483,33.567,399,,,
2019,16,Macarthur,NSW,76.6,23.4,0.4268,0.4615,0.8685,1,362.761,103.351,388,,,
2019,17,Dickson,QLD,75.6,24.4,0.3368,0.5557,0.8408,1,725.482,164.529,360,,,
2019,18,North Sydney,NSW,75.6,24.4,0.4276,0.5047,0.8243,1,49.985,38.328,366,,,
2019,19,Blaxland,NSW,74.9,25.1,0.5072,0.4132,0.8681,1,61.071,38.9,406,,,
2019,20,Ballarat,VIC,73.8,26.2,0.3056,0.582,0.8358,1,4320.009,421.44,343,,,
2019,21,Reid,NSW,73.7,26.3,0.4699,0.4456,0.8358,1,55.107,38.389,385,,,
2019,22,Holt,VIC,73.6,26.4,0.4193,0.4528,0.8509,1,266.353,89.341,267,,,
2019,23,Hunter,NSW,73.6,26.4,0.2773,0.5958,0.8461,1,10639.897,694.377,424,,,
2019,24,Kingsford Smith,NSW,72.6,27.4,0.4441,0.5752,0.8551,2,91.027,50.752,384,,,
2019,25,Bennelong,NSW,72.1,27.9,0.39,0.5441,0.7945,1,60.266,44.069,357,,,
2019,26,Stirling,WA,71.3,28.7,0.4983,0.4294,0.8252,1,74.147,43.242,333,,,
2019,27,Parramatta,NSW,70.9,29.1,0.4475,0.5434,0.7632,1,56.77,39.927,402,,,
2019,28,Maribyrnong,VIC,70.6,29.4,0.3537,0.5276,0.7994,1,64.105,47.725,361,,,
2019,29,Goldstein,VIC,70.3,29.7,0.4585,0.3746,0.8668,1,50.633,37.25,339,,,
2019,30,Scullin,VIC,70.0,30.0,0.3117,0.5469,0.8077,1,116.23,68.457,337,,,
2019,31,Dunkley,VIC,69.7,30.3,0.5115,0.4046,0.8219,1,152.712,61.249,354,,,
2019,32,Fadden,QLD,68.5,31.5,0.3882,0.4665,0.8057,1,433.116,118.401,327,,,
2019,33,Aston,VIC,67.7,32.3,0.2739,0.5847,0.7989,1,113.764,72.247,377,,,
2019,34,Warringah,NSW,67.6,32.4,0.4138,0.514,0.7601,1,68.228,45.517,351,,,
2019,35,Parkes,NSW,66.8,33.2,0.2781,0.4504,0.8737,1,393420.283,4216.139,481,,,
2019,36,Mallee,VIC,66.7,33.3,0.2153,0.5233,0.885,1,81953.464,2186.869,467,,,
2019,37,Clark,TAS,66.5,33.5,0.265,0.4984,0.8362,1,291.769,117.627,279,,,
2019,38,Moore,WA,66.5,33.5,0.4568,0.3827,0.8266,1,90.32,49.845,350,,,
2019,39,Calare,NSW,66.1,33.9,0.1826,0.6682,0.8399,1,32666.325,1499.239,453,,,
2019,40,Moreton,QLD,66.0,34.0,0.38,0.4356,0.8167,1,109.724,60.234,382,,,
2019,41,Wills,VIC,65.5,34.5,0.3533,0.463,0.7985,1,46.876,40.831,346,,,
2019,42,Hughes,NSW,65.2,34.8,0.3207,0.5139,0.7798,1,368.851,120.226,375,,,
2019,43,Calwell,VIC,65.0,35.0,0.2717,0.486,0.8253,1,265.332,110.78,319,,,
2019,44,Griffith,QLD,64.8,35.2,0.3816,0.4827,0.7691,1,57.469,43.503,342,,,
2019,45,Cook,NSW,64.7,35.3,0.3893,0.5284,0.7425,1,93.823,55.034,357,,,
2019,46,Dobell,NSW,64.2,35.8,0.3656,0.4939,0.8415,2,787.17,164.486,382,,,
2019,47,Mcmahon,NSW,64.2,35.8,0.3407,0.4145,0.8327,1,168.418,78.815,390,,,
2019,48,Bradfield,NSW,63.7,36.3,0.3685,0.4602,0.7835,1,101.38,58.8,357,,,
2019,49,Brisbane,QLD,63.2,36.8,0.3771,0.4953,0.7501,1,57.581,43.805,364,,,
2019,50,Canning,WA,63.2,36.8,0.327,0.4726,0.787,1,6304.142,492.182,306,,,
2019,51,Melbourne,VIC,63.2,36.8,0.3812,0.4279,0.7981,1,40.466,36.526,341,,,
2019,52,Leichhardt,QLD,62.7,37.3,0.396,0.392,0.8093,1,302125.558,3096.342,425,,,
2019,53,Menzies,VIC,62.3,37.7,0.2663,0.4935,0.8008,1,184.608,93.332,378,,,
2019,54,Bruce,VIC,62.0,38.0,0.4151,0.3887,0.7988,1,95.897,53.878,424,,,
2019,55,Lindsay,NSW,61.3,38.7,0.3599,0.4517,0.7767,1,339.038,108.798,374,,,
2019,56,Banks,NSW,60.3,39.7,0.4133,0.3075,0.8336,1,53.007,40.146,370,,,
2019,57,Boothby,SA,60.3,39.7,0.3407,0.4403,0.7801,1,115.602,65.302,406,,,
2019,58,Hasluck,WA,60.3,39.7,0.3095,0.5394,0.7423,1,1192.457,220.045,347,,,
2019,59,Makin,SA,59.7,40.3,0.3531,0.3831,0.816,1,162.383,76.022,398,,,
2019,60,Oxley,QLD,59.0,41.0,0.2983,0.5335,0.74,1,158.88,81.809,376,,,
2019,61,Werriwa,NSW,58.9,41.1,0.3978,0.3933,0.7782,1,171.619,73.627,368,,,
2019,62,Isaacs,VIC,58.7,41.3,0.4449,0.347,0.7948,1,155.686,66.314,347,,,
2019,63,La Trobe,VIC,58.4,41.6,0.3004,0.4879,0.7522,1,748.007,176.893,275,,,
2019,64,Hotham,VIC,58.2,41.8,0.3922,0.4601,0.7225,1,83.055,51.586,406,,,
2019,65,Tangney,WA,57.5,42.5,0.3707,0.4418,0.7495,1,83.092,53.076,320,,,
2019,66,Mackellar,NSW,56.5,43.5,0.2969,0.4789,0.8266,2,233.224,99.35,366,,,
2019,67,Wannon,VIC,56.2,43.8,0.2607,0.5883,0.8309,22,33401.939,1268.78,465,,,
2019,68,Greenway,NSW,56.0,44.0,0.4127,0.2522,0.8127,1,81.349,49.769,334,,,
2019,69,Grey,SA,55.8,44.2,0.2301,0.5756,0.8832,158,909651.199,7048.529,518,,,
2019,70,Higgins,VIC,55.2,44.8,0.4354,0.3579,0.7569,1,41.883,34.768,345,,,
2019,71,Berowra,NSW,54.7,45.3,0.2155,0.5075,0.7752,1,786.403,214.141,392,,,
